City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
581,General Pico,AR,52.48,clear sky,-35.6566,-63.7568,Euskadi Hotel
582,Bosobolo,CD,73.13,few clouds,4.1833,19.9,
584,Talara,PE,72.28,clear sky,-4.5772,-81.2719,Hostal Oro Negro
585,Toledo,ES,51.08,few clouds,39.8333,-4.0,Hotel Carlos V Toledo
586,Magaria,NE,57.02,clear sky,12.9983,8.9099,Chez Honorable Chapiou
588,Macau,MO,74.86,few clouds,22.2006,113.5461,Grand Emperor Hotel
590,Guarapari,BR,73.29,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
592,Yolombo,CO,65.19,scattered clouds,6.5984,-75.0114,Residencias El Servidor
595,Bida,NG,69.49,few clouds,9.0833,6.0167,Royal Suite
598,Rujewa,TZ,64.22,light rain,-8.7,34.3833,Mafanikio Inn Lodge
602,Willowmore,ZA,64.36,clear sky,-33.2926,23.4895,Jumper's Place
603,Butembo,CD,59.99,overcast clouds,0.15,29.2833,Hotel Butembo
604,Segou,ML,65.05,clear sky,13.4317,-6.2157,Comme chez soi
606,Acworth,US,55.54,clear sky,34.0659,-84.6769,"Holiday Inn Express & Suites Acworth - Kennesaw Northwest, an IHG Hotel"
608,Bell Ville,AR,53.67,overcast clouds,-32.6259,-62.6887,Hotel Central
610,Nagua,DO,73.18,few clouds,19.3832,-69.8474,Hotel Cambri
615,Pompeia,BR,67.39,few clouds,-22.1086,-50.1717,Hotel Pousada Vale do Sol
617,Bhan,PK,69.17,clear sky,26.5583,67.7214,ZAMIN Ali Khushk
618,Nabinagar,BD,69.93,clear sky,23.8917,90.9733,Padma'r Sworone
620,Reconquista,AR,72.95,light rain,-29.15,-59.65,Grand Hotel
623,Hualmay,PE,70.07,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
624,Lodi,US,62.56,scattered clouds,38.1302,-121.2725,Wine & Roses
628,Guiratinga,BR,68.59,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
629,Katsina,NG,57.45,clear sky,12.9894,7.6006,Katsina Motel
637,Miajadas,ES,50.77,broken clouds,39.1513,-5.9084,Hotel Triana
638,Gbarnga,LR,66.97,few clouds,6.9956,-9.4722,Passion Hotel 2
639,Arlit,NE,59.5,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
645,Yabassi,CM,74.61,few clouds,4.457,9.9682,MOTEL FOMI
646,Karpathos,GR,51.76,few clouds,35.507,27.2132,Alex
650,Clarksburg,US,59.45,overcast clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
652,Canavieiras,BR,74.89,scattered clouds,-15.675,-38.9472,Bahiadomizil
653,Mgandu,TZ,61.75,overcast clouds,-5.95,34.1333,
657,Bouna,CI,70.7,few clouds,9.2667,-3.0,Hôtel lababa
658,Elliot,ZA,59.68,clear sky,-31.3333,27.85,Rose Garden Dinner Bed and Breakfast
659,Kambove,CD,58.95,overcast clouds,-10.8764,26.5969,Couvant des soeurs catholiques
660,Mount Pleasant,US,50.14,few clouds,32.7941,-79.8626,Best Western Patriots Point
