City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Matagami,CA,49.7502,-77.6328,-2.09,71,100,17.27,light snow
314,Pangoa,PE,-12.1167,-73.0,69.06,100,100,1.54,overcast clouds
315,San Cristobal,VE,7.7669,-72.225,68.18,84,84,0.72,broken clouds
316,Cristalina,BR,-16.7686,-47.6136,62.35,97,100,2.62,overcast clouds
317,Alta Floresta,BR,-9.8756,-56.0861,71.44,96,98,2.42,overcast clouds
318,Ust-Tsilma,RU,65.441,52.1498,15.78,93,100,10.16,light snow
319,Hastings,GB,50.8552,0.5729,45.0,74,59,16.55,broken clouds
320,Boa Vista,BR,2.8197,-60.6733,80.58,65,0,11.5,clear sky
321,Barentu,ER,15.1139,37.5928,63.52,79,0,4.79,clear sky
322,Kalmunai,LK,7.4167,81.8167,77.97,87,98,5.35,overcast clouds
323,Muros,ES,42.7762,-9.0603,49.23,87,8,2.91,clear sky
324,Meulaboh,ID,4.1363,96.1285,82.87,66,89,2.84,overcast clouds
325,Haverfordwest,GB,51.8017,-4.9691,47.05,77,100,11.01,overcast clouds
326,Tanout,NE,14.9709,8.8879,55.78,20,0,11.27,clear sky
327,Najran,SA,17.4924,44.1277,56.05,50,0,4.05,clear sky
328,Aconibe,GQ,1.2968,10.9369,67.82,98,78,1.7,broken clouds
329,Ugoofaaru,MV,5.6667,73.0,81.39,74,100,10.07,overcast clouds
330,Dudinka,RU,69.4058,86.1778,-13.2,88,85,11.54,overcast clouds
331,Bealanana,MG,-14.55,48.7333,65.64,93,12,1.92,few clouds
332,Boa Esperanca,BR,-21.09,-45.5658,65.14,96,98,3.13,overcast clouds
333,Pisco,PE,-13.7,-76.2167,69.85,73,0,9.22,clear sky
334,Bati,ET,11.1833,40.0167,58.46,66,2,2.91,clear sky
335,Makat,KZ,47.6469,53.3463,31.78,90,100,15.75,overcast clouds
336,Andros Town,BS,24.7,-77.7667,75.16,83,67,8.25,broken clouds
337,Koroni,GR,36.8,21.95,47.07,70,94,3.24,overcast clouds
338,Mitsamiouli,KM,-11.3847,43.2844,79.52,78,88,5.79,light rain
339,Gwembe,ZM,-16.4975,27.6069,62.92,95,100,3.29,light rain
340,Lauro Muller,BR,-28.3928,-49.3967,65.71,97,28,2.51,scattered clouds
341,Yarada,IN,17.65,83.2667,80.92,57,20,4.61,haze
342,Aksu,CN,41.1231,80.2644,30.43,35,3,2.1,clear sky
